id,Proposal_no,Onlineuserid,user_id,Proposal_Name,category,user_agency_name,area_applied,date_from_ua_to_nodal,State_Name,proposal_status,date_of_recomm
23037,FP/AP/MIN/31646/2018,64972,NA,"M/s. Sri. Nagalingeswara Mines & Minerals, Anantapur has been granted the mining lease over an extent of 4.00 Hect in Compartment no. 593 (P) and 594 (P), Mutchukota R.F, Gooty Range, in Sy.No. 300/P of Julakalva Village, Singanamala Mandal Anantapur District Ananthapuram District, Andhra Pradesh State",Mining,NAGALINGESWARA MINES,4.24525,2-Feb-18,Andhra Pradesh,Draft,
22751,FP/AP/MIN/31359/2018,63913,NA,"Renewal of Mining Lease in Favour of SathyamMinesCorporation Chittoor, AP",Mining,SATHYAMMINESCORPORATION,4.52,13-Jan-18,Andhra Pradesh,Draft,
17642,FP/AP/MIN/25947/2017,51252,4-APB933/2013 BAN,"Julakalva Steatite Mine of M/s Bramaramba Mineral Company, Tadipatri for Steatite",Mining,BRAMARAMBA MINERAL COMPANY TADIPATRIN,4.68,4-Jan-18,Andhra Pradesh,APPROVED,7-May-18
21813,FP/AP/QRY/30405/2017,61492,4-APB049/2017-CHN,"Proposal for Renewal of Quarry lease for an extent of 3.56 Ha(Mining area-2.43, SZ area-0.47, Road area-0.66) in Bollapalli R.F., compartment No.33 Ravulapuram Beat, Bollapalli mandal, Vinukonda Range of Guntur Forest Division in favour of M/s T.S.Mallikharjun Rao, Guntur",Quarrying,TS MALLIKHARJUNA RAO,3.56,22-Nov-17,Andhra Pradesh,IN-PRINCIPLE,13-Dec-17
21450,FP/AP/QRY/30052/2017,2519,NA,"Proposal for Renewal of Quarry lease in favour of M/s Sri Sai Rocks, Chittoor District, A.P.",Quarrying,MS SRI SAI ROCKS,7.25,14-Nov-17,Andhra Pradesh,Draft,
18086,FP/AP/MIN/26408/2017,52227,NA,Mutchukota Barytes Mine of Smt A.Sumana,Mining,MUTCHUKOTA BARYTES MINE OF SMT ASUMANA,2,1-Nov-17,Andhra Pradesh,Draft,
18048,FP/AP/QRY/26370/2017,52109,NA,"Renewal of mining lease in favour of T.Satyavathi, W/o.Late T.Jaya Prakash.",Quarrying,T SATYAVATHI,1.25,30-May-17,Andhra Pradesh,Pending at DFO/DCF,
14221,FP/AP/MIN/21611/2016,16855,4-APC039/2017-CHN,Renewal of Mining Lease in f/o M/s Vaishnav Granites,Mining,VAISHNAV GRANITES,5.43,20-Apr-17,Andhra Pradesh,IN-PRINCIPLE,6-Jul-17
16156,FP/AP/MIN/23703/2017,17713,NA,"Renewal of Mining Lease in f/o M/s Vishnu Granites, Chittoor, A.P",Mining,VISHNU GRANITES,5.24,1-Feb-17,Andhra Pradesh,Draft,
14882,FP/AP/MIN/22334/2016,16420,4-APB033/2017-CHN,"Renewal of mining lease for extraction of Black Granite , in favour of Jyotheeswaram Granites, Chittoor.",Mining,JYOTHEESWARAM GRANITES,2.92,16-Nov-16,Andhra Pradesh,APPROVED,5-Apr-17
14671,FP/AP/QRY/22116/2016,42484,4-APC021/2016-CHN,"Renewal Mining Lease in favour of M/s.Nagamani Granites, Tirupathi, Chittoor District, A.P.",Quarrying,NAGAMANI GRANITES,5.92,7-Nov-16,Andhra Pradesh,APPROVED,9-Nov-16
14347,FP/AP/MIN/21756/2016,17713,4-APB036/2017-CHN,"Renewal of Mining Lease in f/o M/s Vishnu Granites, Chittoor, A.P.",Mining,VISHNU GRANITES,3.01,19-Oct-16,Andhra Pradesh,APPROVED,6-Apr-17
14262,FP/AP/MIN/21655/2016,2797,4-APB035/2017-CHN,"Renewal of Mining Lease in f/o M/s Jayasree Granites, Chittoor, A.P.",Mining,JAYASREE GRANITES,3.6,2-Oct-16,Andhra Pradesh,APPROVED,6-Apr-17
