id,Proposal_no,user_id,Moef_file_no,Proposal_Name,category,user_agency_name,area_applied,date_from_ua_to_nodal,State_Name,proposal_status,date_of_recomm,user_id1
889,FP/AP/OTHERS/2/2020,33259,NA,"Preliminary exploration for Iron Ore in Veldurthy Block of Cuddapah Supergroup, Kurnool District, Andhra Pradesh",Mining,GEOLOGICAL SURVEY OF INDIA,30,5-Apr-20,Andhra Pradesh,Under Examination,,33259
877,FP/AP/OTHERS/1/2020,107047,NA,KAPPATRALLA,Mining,ATOMIC MINERALS DIRECTORATE FOR EXPLORATION AND RESEARCH SCR HYDERABAD,468.25,6-Mar-20,Andhra Pradesh,Under Examination,,107047
719,FP/AP/OTHERS/12/2018,33259,NA,"General exploration for iron ore around Obulapuram (Block 2), Ananthapur district, Andhra Pradesh.",Mining,GEOLOGICAL SURVEY OF INDIA,95.55,30-Jan-20,Andhra Pradesh,Pending at DFO/DCF,,33259
721,FP/AP/OTHERS/14/2018,33259,NA,"General exploration for iron ore around Obulapuram (Block3), Ananthapur district, Andhra Pradesh",Mining,GEOLOGICAL SURVEY OF INDIA,294.84,30-Jan-20,Andhra Pradesh,Pending at DFO/DCF,,33259
770,FP/AP/OTHERS/18/2018,33259,NA,"General exploration for iron ore around Obulapuram (Block 1), Ananthapur district, Andhra Pradesh.",Mining,GEOLOGICAL SURVEY OF INDIA,42.33,30-Jan-20,Andhra Pradesh,Pending at DFO/DCF,,33259
564,FP/AP/MRL/7/2017,59925,NA,MANCHIRY RF IRON ORE DEPOSIT,Mining,MS AP MINERAL DEVELOPEMNT CORPORATION LTD,17.77,5-Nov-18,Andhra Pradesh,PENDING WITH-SG,23-Jan-20,59925
704,FP/AP/OTHERS/10/2018,68966,NA,"The proposed area fall under compartment Nos 113, 114,115, 116 &117 of Betam Cherla Section, Ghnai Reserve Forest",Mining,GREENKO ENERGIES PRIVATE LIMITED,0.32,26-Oct-18,Andhra Pradesh,Pending at DFO/DCF,,68966
729,FP/AP/MRL/16/2018,33259,NA,"General Exploration For Manganese Ore in Yenubaruva block, Vizianagaram District, Andhra Pradesh.",Mining,GEOLOGICAL SURVEY OF INDIA,64,16-Oct-18,Andhra Pradesh,Under Examination,,33259
693,FP/AP/MRL/9/2018,33259,NA,"Nadigadda block of Chittoor &Cuddapah districts, Andhra Pradesh",Mining,GEOLOGICAL SURVEY OF INDIA,4185,5-Jul-18,Andhra Pradesh,Draft,,33259
692,FP/AP/MRL/8/2018,33259,NA,Yenubaruva Block,Mining,GEOLOGICAL SURVEY OF INDIA,64,5-Jul-18,Andhra Pradesh,Under Examination,,33259
674,FP/AP/MRL/7/2018,33259,NA,"Tapasikonda,Sittapalli block",Mining,GEOLOGICAL SURVEY OF INDIA,3863,25-May-18,Andhra Pradesh,Draft,,33259
672,FP/AP/MRL/6/2018,33259,NA,"Kondamasuru Block, Srikakulam and Visakhapatnam Districts, Andhra Pradesh",Mining,GEOLOGICAL SURVEY OF INDIA,7000,22-May-18,Andhra Pradesh,Draft,,33259
671,FP/AP/MRL/5/2018,33259,NA,"Ippakonda Block, Srikakulam and Visakhapatnam Districts, Andhra Pradesh",Mining,GEOLOGICAL SURVEY OF INDIA,3180,22-May-18,Andhra Pradesh,Draft,,33259
670,FP/AP/MRL/4/2018,33259,NA,Yenubaruva block,Mining,GEOLOGICAL SURVEY OF INDIA,64,22-May-18,Andhra Pradesh,Draft,,33259
545,FP/AP/MRL/5/2017,33259,NA,"Tapasikonda, Addatigala, Burugubanda, Etipalli, Marripalem, Eastern Ghat Mobile Belt",Mining,GEOLOGICAL SURVEY OF INDIA,8000,23-Oct-17,Andhra Pradesh,Draft,,33259
546,FP/AP/MRL/6/2017,33259,NA,"Manganese and Graphite mineralization around Kondamasuru and Ippakonda area,",Mining,GEOLOGICAL SURVEY OF INDIA,12800,23-Oct-17,Andhra Pradesh,Draft,,33259
544,FP/AP/MRL/4/2017,33259,NA,Janapalacheruvu area and adjacent areas,Mining,GEOLOGICAL SURVEY OF INDIA,4000,17-Oct-17,Andhra Pradesh,Draft,,33259
542,FP/AP/MRL/3/2017,33259,NA,Boyapalle-Kottapalle and Nadigadda blocks,Mining,GEOLOGICAL SURVEY OF INDIA,5000,17-Oct-17,Andhra Pradesh,Draft,,33259
513,FP/AP/MRL/2/2017,33259,NA,"Mallayakonda Block,Veligallu schist belt, Chittoor district, Andhra Pradesh.",Mining,GEOLOGICAL SURVEY OF INDIA,6431,10-Jul-17,Andhra Pradesh,Draft,,33259
